,1,2,3,PanEV,CD63,EpCAM,CD9,SDC1,EGFR,PDL1,MET,CD81,HER2,ADAM10,CTSH
1,8.338811836,-6.721730102,19.1277663,1,0,0,1,0,0,1,1,0,0,1,0
2,-2.300480242,30.35508971,-5.054439553,1,0,0,0,1,0,0,1,0,0,0,0
3,-8.585197923,10.64862286,-6.51512467,1,0,0,0,0,0,0,0,0,0,1,0
4,1.330688028,22.55437561,13.73703898,1,0,0,0,0,0,0,0,0,0,0,0
5,-3.286894082,25.50986949,4.931701908,1,0,0,0,0,0,0,0,0,0,0,0
6,2.226214085,7.95766338,3.882186667,1,0,0,0,0,0,0,0,0,0,1,0
7,-7.392128306,5.769734121,6.280242713,1,0,0,0,0,0,0,0,0,0,1,0
8,-5.718247373,-12.85938938,-8.057369827,1,0,0,0,1,0,0,1,0,0,1,0
9,-10.47910066,35.83994384,0.099481123,1,0,0,0,0,0,0,0,0,0,1,0
10,-2.767133074,28.03940736,10.51036187,1,0,0,0,0,0,0,0,0,1,0,0
11,-5.874321228,-12.78076061,-9.761505531,1,0,0,0,1,0,0,1,0,0,1,0
12,3.613796861,10.52173311,16.36305807,1,0,0,0,0,0,0,1,0,1,0,0
13,1.750137847,16.47358272,17.27221749,1,0,0,0,0,0,0,0,0,0,0,0
14,-2.640176438,-8.960468844,-4.936932748,1,0,0,0,0,0,0,1,0,0,1,0
15,-8.893953067,37.44962094,0.51871929,1,0,0,0,0,0,0,1,0,0,1,0
16,2.780717704,24.99442775,1.617997551,1,0,0,0,0,0,0,0,0,0,1,0
17,-2.662755018,23.97365014,8.252960844,1,0,0,0,0,0,0,0,0,0,0,0
18,3.281329465,-2.801781059,11.18190428,1,0,0,0,0,0,0,1,0,0,1,0
19,-1.194271354,15.53651111,7.695682065,1,0,0,0,0,0,0,0,0,0,1,0
20,-3.710999859,24.11431199,3.401506209,1,0,0,0,0,0,0,0,0,0,0,0
21,1.078978226,23.97753704,13.86614831,1,0,0,1,0,0,1,0,0,1,0,0
22,6.527162668,-1.458510696,7.071212862,1,0,0,0,0,0,0,1,0,0,0,0
23,-1.671697698,27.2090976,11.56523725,1,0,0,1,0,0,1,0,0,1,1,0
24,5.185783854,16.71458737,16.20331456,1,0,0,1,0,0,1,0,0,0,0,0
25,-4.568557727,19.94427859,-3.194265029,1,0,0,0,0,0,0,0,0,0,0,0
26,1.14474954,23.30153722,13.50900476,1,0,0,0,0,0,0,0,0,0,0,0
27,-4.38917294,28.93080082,3.897892497,1,0,0,0,0,0,0,0,0,0,0,0
28,-1.760678897,-9.187822879,-6.135550613,1,0,0,0,0,0,0,1,0,0,1,0
29,3.232767661,17.89341611,11.37764262,1,0,0,1,0,0,1,0,0,0,1,0
30,-11.28291888,34.02521167,-1.282859008,1,0,0,0,0,0,0,0,0,0,1,0
31,-4.824517141,18.42220971,-1.072671894,1,0,0,0,0,0,0,0,0,0,0,0
32,3.854984149,15.66732796,12.23441664,1,0,0,0,0,0,0,0,0,0,0,0
33,-1.91872882,9.954416606,7.880683985,1,0,0,0,0,0,0,0,0,0,1,0
34,1.613820008,18.49067878,13.72546314,1,0,0,0,0,0,0,0,0,0,0,0
35,-2.064937014,6.868147778,-5.851263396,1,0,0,0,0,0,0,0,0,0,1,0
36,-10.84858229,18.71847707,-3.06160081,1,0,0,0,0,0,0,0,0,0,1,0
37,-9.975136204,-4.673627363,0.551329316,1,0,0,0,0,0,0,0,0,0,1,0
