x_coord,y_coord,z_coord,HDBSCAN_cluster,stage,stage_category,health_status
-16.419168,17.25846,4.217645,2,F1,Healthy,Healthy
-17.771284,-6.6183,1.7411063,2,F1,Healthy,Healthy
-15.773851,-3.9934478,14.733352,2,F1,Healthy,Healthy
-6.478253,-9.906029,-18.15198,2,F1,Healthy,Healthy
-17.021095,-6.819285,-12.176393,2,F1,Healthy,Healthy
-8.148841,9.703776,15.551055,2,F1,Healthy,Healthy
-10.158985,-0.9475219,13.111508,2,F1,Healthy,Healthy
-5.381606,-10.364041,-14.228645,2,F1,Healthy,Healthy
-17.573984,7.6574516,4.5065603,2,F1,Healthy,Healthy
-11.369471,-2.5720665,-11.461795,2,F1,Healthy,Healthy
-8.764361,1.4646571,15.954079,2,F1,Healthy,Healthy
-16.515493,15.7465515,-0.36869937,2,F1,Healthy,Healthy
-9.917931,3.4967296,-7.2243223,2,F1,Healthy,Healthy
-16.952625,13.951062,-3.1632137,2,F1,Healthy,Healthy
-20.916504,4.7844973,-11.427384,2,F1,Healthy,Healthy
-22.982176,8.177142,-4.137405,2,F1,Healthy,Healthy
-20.49354,-0.32433102,-0.33094987,2,F1,Healthy,Healthy
-14.103793,-5.71218,-4.57252,2,F1,Healthy,Healthy
-0.8231538,-2.833093,-20.85587,2,F1,Healthy,Healthy
-6.548108,-9.1175,-12.098188,2,F1,Healthy,Healthy
-12.535026,-5.0786076,-13.171357,2,F1,Healthy,Healthy
-11.538975,12.035998,13.68137,2,F1,Healthy,Healthy
-7.212557,-12.143698,-14.8041725,2,F1,Healthy,Healthy
-12.368089,-0.5800005,-7.9535804,2,F1,Healthy,Healthy
-14.512882,-2.1670492,-14.354079,2,F1,Healthy,Healthy
-21.171814,6.095277,6.0360394,2,F1,Healthy,Healthy
-9.140034,-12.405398,-13.104385,2,F1,Healthy,Healthy
10.077223,6.1614857,14.626249,2,F1,Healthy,Healthy
-15.820356,-2.022625,9.972384,2,F1,Healthy,Healthy
